
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_a/checkpoints/hebbian_step_5000A.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0978

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 1440/5000 | Consistency: 0.0668 | Avg: 0.0554 | Samples/s: 1
Step 1450/5000 | Consistency: 0.0375 | Avg: 0.0553 | Samples/s: 1
Step 1460/5000 | Consistency: 0.0366 | Avg: 0.0552 | Samples/s: 1
Step 1470/5000 | Consistency: 0.0531 | Avg: 0.0551 | Samples/s: 1
Step 1480/5000 | Consistency: 0.0558 | Avg: 0.0551 | Samples/s: 1
Step 1490/5000 | Consistency: 0.0362 | Avg: 0.0550 | Samples/s: 1
Step 1500/5000 | Consistency: 0.0464 | Avg: 0.0550 | Samples/s: 1
  → Saved checkpoint: hebbian_step_1500.pt
Step 1510/5000 | Consistency: 0.0446 | Avg: 0.0549 | Samples/s: 1
Step 1520/5000 | Consistency: 0.0896 | Avg: 0.0550 | Samples/s: 1
Step 1530/5000 | Consistency: 0.0443 | Avg: 0.0549 | Samples/s: 1
Step 1540/5000 | Consistency: 0.0422 | Avg: 0.0549 | Samples/s: 1
Step 1550/5000 | Consistency: 0.0538 | Avg: 0.0549 | Samples/s: 1
Step 1560/5000 | Consistency: 0.0538 | Avg: 0.0548 | Samples/s: 1
Step 1570/5000 | Consistency: 0.0403 | Avg: 0.0548 | Samples/s: 1
Step 1580/5000 | Consistency: 0.0309 | Avg: 0.0547 | Samples/s: 1
Step 1590/5000 | Consistency: 0.0391 | Avg: 0.0545 | Samples/s: 1
Step 1600/5000 | Consistency: 0.0575 | Avg: 0.0545 | Samples/s: 1
Step 1610/5000 | Consistency: 0.0409 | Avg: 0.0544 | Samples/s: 1
Step 1620/5000 | Consistency: 0.0373 | Avg: 0.0543 | Samples/s: 1
Step 1630/5000 | Consistency: 0.0581 | Avg: 0.0543 | Samples/s: 1
Step 1640/5000 | Consistency: 0.0543 | Avg: 0.0543 | Samples/s: 1
Step 1650/5000 | Consistency: 0.0324 | Avg: 0.0542 | Samples/s: 1
Step 1660/5000 | Consistency: 0.0436 | Avg: 0.0541 | Samples/s: 1
Step 1670/5000 | Consistency: 0.0500 | Avg: 0.0541 | Samples/s: 1
Step 1680/5000 | Consistency: 0.0652 | Avg: 0.0541 | Samples/s: 1
Step 1690/5000 | Consistency: 0.0426 | Avg: 0.0540 | Samples/s: 1
Step 1700/5000 | Consistency: 0.0356 | Avg: 0.0540 | Samples/s: 1
Step 1710/5000 | Consistency: 0.0370 | Avg: 0.0539 | Samples/s: 1
Step 1720/5000 | Consistency: 0.0486 | Avg: 0.0538 | Samples/s: 1
Step 1730/5000 | Consistency: 0.0470 | Avg: 0.0538 | Samples/s: 1
