
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012730
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_b/checkpoints/hebbian_step_5000B.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0910

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 1160/5000 | Consistency: 0.1242 | Avg: 0.0673 | Samples/s: 1
Step 1170/5000 | Consistency: 0.0361 | Avg: 0.0676 | Samples/s: 1
Step 1180/5000 | Consistency: 0.0524 | Avg: 0.0674 | Samples/s: 1
Step 1190/5000 | Consistency: 0.0812 | Avg: 0.0673 | Samples/s: 1
Step 1200/5000 | Consistency: 0.0994 | Avg: 0.0674 | Samples/s: 1
Step 1210/5000 | Consistency: 0.0352 | Avg: 0.0672 | Samples/s: 1
Step 1220/5000 | Consistency: 0.0723 | Avg: 0.0671 | Samples/s: 1
Step 1230/5000 | Consistency: 0.1146 | Avg: 0.0673 | Samples/s: 1
Step 1240/5000 | Consistency: 0.0537 | Avg: 0.0673 | Samples/s: 1
Step 1250/5000 | Consistency: 0.0473 | Avg: 0.0673 | Samples/s: 1
Step 1260/5000 | Consistency: 0.0885 | Avg: 0.0674 | Samples/s: 1
Step 1270/5000 | Consistency: 0.0490 | Avg: 0.0674 | Samples/s: 1
Step 1280/5000 | Consistency: 0.0854 | Avg: 0.0674 | Samples/s: 1
Step 1290/5000 | Consistency: 0.0745 | Avg: 0.0675 | Samples/s: 1
Step 1300/5000 | Consistency: 0.0449 | Avg: 0.0677 | Samples/s: 1
Step 1310/5000 | Consistency: 0.0673 | Avg: 0.0675 | Samples/s: 1
Step 1320/5000 | Consistency: 0.1174 | Avg: 0.0676 | Samples/s: 1
Step 1330/5000 | Consistency: 0.0496 | Avg: 0.0679 | Samples/s: 1
Step 1340/5000 | Consistency: 0.0563 | Avg: 0.0678 | Samples/s: 1
Step 1350/5000 | Consistency: 0.1081 | Avg: 0.0679 | Samples/s: 1
Step 1360/5000 | Consistency: 0.1611 | Avg: 0.0682 | Samples/s: 1
Step 1370/5000 | Consistency: 0.0525 | Avg: 0.0681 | Samples/s: 1
Step 1380/5000 | Consistency: 0.0499 | Avg: 0.0682 | Samples/s: 1
Step 1390/5000 | Consistency: 0.0954 | Avg: 0.0682 | Samples/s: 1
Step 1400/5000 | Consistency: 0.0488 | Avg: 0.0681 | Samples/s: 1
Step 1410/5000 | Consistency: 0.0441 | Avg: 0.0679 | Samples/s: 1
Step 1420/5000 | Consistency: 0.0552 | Avg: 0.0679 | Samples/s: 1
